,수상등급,분야,연도,직위,소속
583,특상,환경,2015,학생,연천중
584,장려상,환경,2015,학생,대원국제중
585,우수상,환경,2015,학생,대원국제중
586,장려상,환경,2015,학생,성일중
587,우수상,환경,2015,학생,오륜중
588,장려상,환경,2015,학생,신구중
589,특상,환경,2015,학생,"대명중,휘문중"
590,장려상,환경,2015,학생,장평중
591,우수상,환경,2015,학생,서울도성초
592,특상,환경,2015,학생,서울서교초
593,우수상,환경,2015,학생,서울구암초
594,장려상,환경,2015,학생,중대부초
595,우수상,환경,2015,학생,서울영도초
596,장려상,환경,2015,학생,서울서교초
597,우수상,산업및에너지,2015,학생,가원중
598,장려상,산업및에너지,2015,학생,화곡중
599,특상,산업및에너지,2015,학생,숙명여중
600,우수상,산업및에너지,2015,학생,숙명여고
601,장려상,산업및에너지,2015,학생,대성고
602,장려상,산업및에너지,2015,학생,세종과학고
603,장려상,산업및에너지,2015,학생,진선여고
604,우수상,산업및에너지,2015,학생,대진고
605,특상,산업및에너지,2015,학생,강동고
606,장려상,농림수산,2015,학생,중산고
607,우수상,농림수산,2015,학생,서울과학고
608,장려상,농림수산,2015,학생,서울과학고
609,특상,농림수산,2015,학생,대일고
610,우수상,농림수산,2015,학생,선덕고
611,우수상,농림수산,2015,학생,명일중
612,우수상,지구과학,2015,학생,대진고
613,특상,지구과학,2015,학생,서울과학고
614,우수상,지구과학,2015,학생,서울과학고
615,장려상,지구과학,2015,학생,대원국제중
616,장려상,지구과학,2015,학생,고명중
617,우수상,지구과학,2015,학생,경기초
618,장려상,지구과학,2015,학생,경복초
619,장려상,지구과학,2015,학생,서울도성초
620,장려상,지구과학,2015,학생,서울송전초
621,장려상,식물,2015,학생,덕성여고
622,우수상,식물,2015,학생,반포고
623,장려상,식물,2015,학생,휘문고
624,특상,식물,2015,학생,동양중
625,장려상,식물,2015,학생,명덕여중
626,특상,식물,2015,학생,한양중
627,장려상,식물,2015,학생,광성중
628,우수상,식물,2015,학생,서울목운초
629,장려상,동물,2015,학생,서울용산초
630,우수상,동물,2015,학생,은광여고
631,장려상,동물,2015,학생,하나고
632,장려상,동물,2015,학생,명덕고
633,특상,동물,2015,학생,한성과학고
634,장려상,동물,2015,학생,서울과학고
635,우수상,동물,2015,학생,경기고
636,장려상,동물,2015,학생,선린중
637,우수상,동물,2015,학생,대원국제중
638,특상,동물,2015,학생,한양초
639,장려상,화학,2015,학생,숭의여고
640,장려상,화학,2015,학생,하나고
641,우수상,화학,2015,학생,한성과학고
642,장려상,화학,2015,학생,서울과학고
643,우수상,화학,2015,학생,반포고
644,우수상,화학,2015,학생,세종과학고
645,특상,화학,2015,학생,서울과학고
646,장려상,화학,2015,학생,은광여고
647,특상,화학,2015,학생,세종과학고
648,장려상,화학,2015,학생,한성과학고
649,우수상,화학,2015,학생,세종과학고
650,장려상,화학,2015,학생,압구정중
651,특상,화학,2015,학생,목운중
652,장려상,화학,2015,학생,서울강덕초
653,우수상,물리,2015,학생,경복고
654,장려상,물리,2015,학생,관악고
655,장려상,물리,2015,학생,광남고
656,특상,물리,2015,학생,중산고
657,장려상,물리,2015,학생,한성과학고
658,장려상,물리,2015,학생,서울과학고
659,우수상,물리,2015,학생,서울과학고
660,우수상,물리,2015,학생,한성과학고
661,우수상,물리,2015,학생,송곡여고
662,장려상,물리,2015,학생,진선여고
663,특상,물리,2015,학생,세종과학고
664,특상,물리,2015,학생,세종과학고
665,장려상,물리,2015,학생,여의도여고
666,우수상,물리,2015,학생,세종과학고
667,특상,물리,2015,학생,상명중
668,우수상,물리,2015,학생,대청중
669,장려상,물리,2015,학생,성보중
670,우수상,물리,2015,학생,연서중
671,장려상,물리,2015,학생,신일중
672,우수상,물리,2015,학생,구암중
673,장려상,물리,2015,학생,환일중
674,장려상,물리,2015,학생,예일여중
675,우수상,물리,2015,학생,청원중
676,특상,물리,2015,학생,상현중
677,장려상,물리,2014,학생,자양중
678,장려상,물리,2015,학생,서울보라매초
